Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,87,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,100,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,792,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2019,Tourism expenditure (millions of US dollars),,2004,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2020,Tourism expenditure (millions of US dollars),,340,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2021,Tourism expenditure (millions of US dollars),,368,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,1598,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,1625,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,1378,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2019,Tourist/visitor arrivals (thousands),TF,1807,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2020,Tourist/visitor arrivals (thousands),TF,441,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2021,Tourist/visitor arrivals (thousands),TF,891,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,1356,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,2081,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,2159,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2019,Tourism expenditure (millions of US dollars),,4150,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2020,Tourism expenditure (millions of US dollars),,972,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
44,Bahamas,2021,Tourism expenditure (millions of US dollars),,2334,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,2311,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,6313,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
